table,field_name,type,length,decimals
2023\AGING.DBF,PCODE,C,10,0
2023\AGING.DBF,ACC_CODE,C,10,0
2023\AGING.DBF,DATE,D,8,0
2023\AGING.DBF,ACC_NAME,C,40,0
2023\AGING.DBF,OPEN_DATE,D,8,0
2023\AGING.DBF,DR_AMOUNT,N,10,2
2023\AGING.DBF,VOU_NO,C,10,0
2023\AGING.DBF,INVOICENO,N,10,0
2023\AGING.DBF,AVOU_NO,N,10,0
2023\AGING.DBF,ADR_AMOUNT,N,12,0
2023\AGING.DBF,DRCR1,C,2,0
2023\AGING.DBF,BALANCE,N,12,2
2023\AGING.DBF,DEBIT,N,12,2
2023\AGING.DBF,CREDIT,N,12,2
2023\aging2.DBF,TYPE,C,12,0
2023\aging2.DBF,SNOX,N,4,0
2023\aging2.DBF,ACC_CODE,C,10,0
2023\aging2.DBF,DATE,D,8,0
2023\aging2.DBF,ACC_NAME,C,40,0
2023\aging2.DBF,VEHICLE_NO,C,10,0
2023\aging2.DBF,OPEN_DATE,D,8,0
2023\aging2.DBF,DR_AMOUNT,N,12,2
2023\aging2.DBF,VOU_NO,C,10,0
2023\aging2.DBF,AVOU_NO,N,5,0
2023\aging2.DBF,ADR_AMOUNT,N,10,3
2023\aging2.DBF,DRCR1,C,2,0
2023\aging2.DBF,BALANCE,N,12,2
2023\BARCODE.DBF,CODE,N,10,0
2023\BARCODE.DBF,CODE1,N,10,0
2023\BARCODE.DBF,CODE2,N,10,0
2023\BARCODE.DBF,CODE3,N,10,0
2023\BARCODE.DBF,CODE4,N,10,0
2023\BARCODE.DBF,CODE5,N,10,0
2023\BATCH.DBF,CODE,N,8,0
2023\BATCH.DBF,CATEGORY,C,50,0
2023\BATCH.DBF,UNIT,C,10,0
2023\BATCH.DBF,FILL,N,10,3
2023\BATCH.DBF,PRATE,N,10,4
2023\BATCH.DBF,RATE,N,10,2
2023\BCODE.DBF,CODE,N,6,0
2023\BCODE.DBF,MLNAME,C,50,0
2023\BCODE.DBF,UNIT,C,12,0
2023\BCODE.DBF,RATE,N,10,2
2023\BDB.DBF,MODE,C,1,0
2023\BDB.DBF,DATE,D,8,0
2023\BDB.DBF,PCODE,C,8,0
2023\BDB.DBF,LNAME,C,40,0
2023\BDB.DBF,PARTICULAR,C,70,0
2023\BDB.DBF,TYPE,C,1,0
2023\BDB.DBF,VNO,N,6,0
2023\BDB.DBF,QTY,N,12,2
2023\BDB.DBF,PDATE,D,8,0
2023\BDB.DBF,CODE,N,10,0
2023\BDB.DBF,INVOICENO,N,10,0
2023\BDB.DBF,BILLNO,N,10,0
2023\BDB.DBF,UNIT,C,10,0
2023\BDB.DBF,RATE,N,10,0
2023\BDB.DBF,CASE,N,10,0
